날짜,요일,홈,방문,구장,관중수
2024/03/23,토,LG,한화,잠실,"23,750"
2024/03/23,토,SSG,롯데,문학,"23,000"
2024/03/23,토,NC,두산,창원,"17,891"
2024/03/23,토,KT,삼성,수원,"18,700"
2024/03/23,토,KIA,키움,광주,"20,500"
2024/03/24,일,LG,한화,잠실,"23,750"
2024/03/24,일,SSG,롯데,문학,"23,000"
2024/03/24,일,NC,두산,창원,"14,555"
2024/03/24,일,KT,삼성,수원,"18,700"
2024/03/26,화,SSG,한화,문학,"10,541"
2024/03/26,화,KIA,롯데,광주,"7,328"
2024/03/26,화,KT,두산,수원,"4,378"
2024/03/26,화,LG,삼성,잠실,"14,229"
2024/03/26,화,NC,키움,창원,"2,839"
2024/03/27,수,SSG,한화,문학,"11,005"
2024/03/27,수,KIA,롯데,광주,"8,672"
2024/03/27,수,KT,두산,수원,"5,271"
2024/03/27,수,LG,삼성,잠실,"18,041"
2024/03/27,수,NC,키움,창원,"3,681"
2024/03/28,목,SSG,한화,문학,"11,755"
2024/03/28,목,KT,두산,수원,"4,304"
2024/03/28,목,LG,삼성,잠실,"13,420"
2024/03/29,금,두산,KIA,잠실,"23,750"
2024/03/29,금,한화,KT,한밭,"12,000"
2024/03/29,금,키움,LG,고척,"8,465"
2024/03/29,금,롯데,NC,사직,"21,554"
2024/03/29,금,삼성,SSG,대구,"21,479"
2024/03/30,토,두산,KIA,잠실,"23,750"
2024/03/30,토,한화,KT,한밭,"12,000"
2024/03/30,토,키움,LG,고척,"13,462"
2024/03/30,토,롯데,NC,사직,"22,754"
2024/03/30,토,삼성,SSG,대구,"24,000"
2024/03/31,일,두산,KIA,잠실,"23,750"
2024/03/31,일,한화,KT,한밭,"12,000"
2024/03/31,일,키움,LG,고척,"11,822"
2024/03/31,일,롯데,NC,사직,"21,578"
2024/03/31,일,삼성,SSG,대구,"22,886"
2024/04/02,화,KT,KIA,수원,"9,682"
2024/04/02,화,한화,롯데,한밭,"12,000"
2024/04/02,화,LG,NC,잠실,"11,845"
2024/04/02,화,SSG,두산,문학,"12,379"
2024/04/02,화,삼성,키움,대구,"8,541"
2024/04/03,수,KT,KIA,수원,"8,050"
2024/04/03,수,LG,NC,잠실,"10,239"
2024/04/03,수,SSG,두산,문학,"12,128"
2024/04/04,목,KT,KIA,수원,"10,722"
2024/04/04,목,한화,롯데,한밭,"12,000"
2024/04/04,목,LG,NC,잠실,"11,406"
2024/04/04,목,SSG,두산,문학,"14,249"
2024/04/04,목,삼성,키움,대구,"8,193"
2024/04/05,금,키움,한화,고척,"16,000"
2024/04/05,금,LG,KT,잠실,"13,818"
2024/04/05,금,롯데,두산,사직,"12,289"
2024/04/05,금,NC,SSG,창원,"5,452"
2024/04/05,금,KIA,삼성,광주,"14,233"
2024/04/06,토,키움,한화,고척,"16,000"
2024/04/06,토,LG,KT,잠실,"21,824"
2024/04/06,토,롯데,두산,사직,"19,208"
2024/04/06,토,NC,SSG,창원,"11,064"
2024/04/06,토,KIA,삼성,광주,"20,500"
2024/04/07,일,키움,한화,고척,"16,000"
2024/04/07,일,LG,KT,잠실,"19,249"
2024/04/07,일,롯데,두산,사직,"16,755"
2024/04/07,일,NC,SSG,창원,"8,861"
2024/04/07,일,KIA,삼성,광주,"20,500"
2024/04/09,화,두산,한화,잠실,"23,598"
2024/04/09,화,NC,KT,창원,"4,918"
2024/04/09,화,KIA,LG,광주,"11,817"
2024/04/09,화,롯데,삼성,사직,"15,076"
2024/04/09,화,SSG,키움,문학,"9,468"
2024/04/10,수,두산,한화,잠실,"23,750"
2024/04/10,수,NC,KT,창원,"9,895"
2024/04/10,수,KIA,LG,광주,"20,500"
2024/04/10,수,롯데,삼성,사직,"22,758"
